Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
Abacaenum,http://pleiades.stoa.org/places/462062,"38.05191,15.10158",Abaceno,,,,,,,,,,,,,,,,,,,,,,,,
Acium,http://pleiades.stoa.org/places/462067,"37.57533,15.17411",Capo Mulini,http://www.geonames.org/2525383/capo-molini.html,,,,,,,,,,,,,,,,,,,,,,,
Acrae,http://pleiades.stoa.org/places/462068,"37.05780,14.89346",Palazzolo Acreide,http://www.geonames.org/2523922/palazzolo-acreide.html,,,,,,,,,,,,,,,,,,,,,,,
Acrillae,http://pleiades.stoa.org/places/462069,"37.0305, 14.70302",Chiaramonte Gulfi,http://www.geonames.org/2525010/chiaramonte-gulfi.html,,,,,,,,,,,,,,,,,,,,,,,
Adranon,http://pleiades.stoa.org/places/462074,"37.66358, 14.83283",Adrano,http://www.geonames.org/2525769/adrano.html,,,,,,,,,,,,,,,,,,,,,,,
"Aegusa, ins.",http://pleiades.stoa.org/places/462084,"37.93333, 12.31667",Favignana,http://www.geonames.org/2524779/isola-favignana.html,,,,,,,,,,,,,,,,,,,,,,,
Aetna,http://pleiades.stoa.org/places/462251,"37.56675, 14.90254",Paternò,http://www.geonames.org/2523866/paterno.html,,,,,,,,,,,,,,,,,,,,,,,
Aetna mons,http://pleiades.stoa.org/places/462077,"37.75029, 14.99466",Mount Etna,http://www.geonames.org/2524810/monte-etna.html,,,,,,,,,,,,,,,,,,,,,,,
Agathyrnum,http://pleiades.stoa.org/places/462079,"38.16579,14.75064",Capo d'Orlando,http://www.geonames.org/2523961/capo-d-orlando.html,,,,,,,,,,,,,,,,,,,,,,,
Agrigentum,http://pleiades.stoa.org/places/462086,"37.32084, 13.58876",Agrigento,http://www.geonames.org/6541860/agrigento.html,,,,,,,,,,,,,,,,,,,,,,,
Agyrium,http://pleiades.stoa.org/places/462082,"37.6558, 14.51972",Agira,http://www.geonames.org/2525767/agira.html,,,,,,,,,,,,,,,,,,,,,,,
Amestratus,http://pleiades.stoa.org/places/462093,"37.929543, 14.362532",Mistretta,http://www.geonames.org/2524122/mistretta.html,,,,,,,,,,,,,,,,,,,,,,,
Apollonia,http://pleiades.stoa.org/places/462097,"38.03255,14.59566",Monte San Fratello,http://www.geonames.org/2523486/monte-san-fratello.html,,,,,,,,,,,,,,,,,,,,,,,
Assorus,http://pleiades.stoa.org/places/462106,"37.6221, 14.4181",Assoro,http://www.geonames.org/2525651/assoro.html,,,,,,,,,,,,,,,,,,,,,,,
Bidis (?),http://pleiades.stoa.org/places/462113,"37.0646,14.5508",Poggio Bidini,,,,,,,,,,,,,,,,,,,,,,,,
Brikinniai (?),http://pleiades.stoa.org/places/462118,"37.3387946, 14.8557338",Monte San Basilio,,,,,,,,,,,,,,,,,,,,,,,,
Calacte,http://pleiades.stoa.org/places/462123,"38.02381, 14.44142",Caronia,http://www.geonames.org/2525344/caronia.html,,,,,,,,,,,,,,,,,,,,,,,
Camarina,http://pleiades.stoa.org/places/462126,"36.8736,14.4507",Kamarina,http://www.geonames.org/8063309/kamarina.html,,,,,,,,,,,,,,,,,,,,,,,
Capitium,http://pleiades.stoa.org/places/462130,"37.84788, 14.47976",Capizzi,http://www.geonames.org/2525387/capizzi.html,,,,,,,,,,,,,,,,,,,,,,,
Capitoniania (?),http://pleiades.stoa.org/places/462131,"37.38616, 14.69241",Ramacca,http://www.geonames.org/2523644/ramacca.html,,,,,,,,,,,,,,,,,,,,,,,
Catina,http://pleiades.stoa.org/places/462270,"37.49223, 15.07041",Catania,http://www.geonames.org/2525068/catania.html,,,,,,,,,,,,,,,,,,,,,,,
Centuripae,http://pleiades.stoa.org/places/462153,"37.62336, 14.74049",Centuripe,http://www.geonames.org/2525032/centuripe.html,,,,,,,,,,,,,,,,,,,,,,,
Cephaloedium,http://pleiades.stoa.org/places/462154,"38.03856, 14.02285",Cefalù,http://www.geonames.org/2525041/cefalu.html,,,,,,,,,,,,,,,,,,,,,,,
"Cossura, ins.",http://pleiades.stoa.org/places/462168,"36.78333, 12",Pantelleria,http://www.geonames.org/2523889/isola-di-pantelleria.html,,,,,,,,,,,,,,,,,,,,,,,
Dianae Fons (?),http://pleiades.stoa.org/places/462185,"36.94893, 14.60731",Comiso,http://www.geonames.org/2524955/comiso.html,,,,,,,,,,,,,,,,,,,,,,,
Drepanum,http://pleiades.stoa.org/places/462187,"38.0176, 12.53617",Trapani,http://www.geonames.org/2522876/trapani.html,,,,,,,,,,,,,,,,,,,,,,,
Enna,http://pleiades.stoa.org/places/462236,"37.5655, 14.27433",Enna,http://www.geonames.org/2524819/enna.html,,,,,,,,,,,,,,,,,,,,,,,
Entella,http://pleiades.stoa.org/places/462197,"37.77889,13.11509",Rocca d'Entella,http://www.geonames.org/11103525/rocca-d-entella.html,,,,,,,,,,,,,,,,,,,,,,,
Euonymus,http://pleiades.stoa.org/places/452324,"38.6375, 15.06766",Panarea,http://www.geonames.org/2523898/isola-panarea.html,,,,,,,,,,,,,,,,,,,,,,,
Euryelos,http://pleiades.stoa.org/places/462204,"37.09125, 15.22299",Eurialo,,,,,,,,,,,,,,,,,,,,,,,,
Eryx,http://pleiades.stoa.org/places/462201,"38.03785, 12.58778",Erice,http://www.geonames.org/2524815/erice.html,,,,,,,,,,,,,,,,,,,,,,,
Euboia (?),http://pleiades.stoa.org/places/462203,"37.15674, 14.70555",Licodia Eubea,http://www.geonames.org/2524392/licodia-eubea.html,,,,,,,,,,,,,,,,,,,,,,,
"Gaulus, ins.",http://pleiades.stoa.org/places/462213,"36.04944, 14.25",Gozo Island ,http://www.geonames.org/2563049/gozo.html,,,,,,,,,,,,,,,,,,,,,,,
Gaulus ,http://pleiades.stoa.org/places/462213,"36.04528, 14.24167",Victoria-Rabat,http://www.geonames.org/8299745/victoria.html,,,,,,,,,,,,,,,,,,,,,,,
Gela,http://pleiades.stoa.org/places/462214,"37.07381, 14.24038",Gela,http://www.geonames.org/2524653/gela.html,,,,,,,,,,,,,,,,,,,,,,,
Halaesa,http://pleiades.stoa.org/places/462225,"37.99907,14.26197",Alesa Arconidea,,,,,,,,,,,,,,,,,,,,,,,,
Halicyae (?),http://pleiades.stoa.org/places/462227,"37.82199, 12.80506",Salemi,http://www.geonames.org/2523557/salemi.html,,,,,,,,,,,,,,,,,,,,,,,
Haluntium,http://pleiades.stoa.org/places/462228,"38.07261, 14.70093",San Marco d'Alunzio,http://www.geonames.org/2523425/san-marco-d-alunzio.html,,,,,,,,,,,,,,,,,,,,,,,
Helorus,http://pleiades.stoa.org/places/462234,"36.84044, 15.10414",Eloro,http://www.geonames.org/10402654/resti-di-eloro.html,,,,,,,,,,,,,,,,,,,,,,,
