Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI
Abacaenum,http://pleiades.stoa.org/places/462062,"38.05191,15.10158",Abaceno,
Acium,http://pleiades.stoa.org/places/462067,"37.57533,15.17411",Capo Mulini,http://sws.geonames.org/2525383/
Acrae,http://pleiades.stoa.org/places/462068,"37.05780,14.89346",Palazzolo Acreide,http://sws.geonames.org/2523922/
Acrillae,http://pleiades.stoa.org/places/462069,"37.0305, 14.70302",Chiaramonte Gulfi,http://sws.geonames.org/2525010/
Adranon,http://pleiades.stoa.org/places/462074,"37.66358, 14.83283",Adrano,http://sws.geonames.org/2525769/
"Aegusa, ins.",http://pleiades.stoa.org/places/462084,"37.93333, 12.31667",Favignana,http://sws.geonames.org/2524779/
Aetna,http://pleiades.stoa.org/places/462251,"37.56675, 14.90254",Paternò,http://sws.geonames.org/2523866/
Aetna mons,http://pleiades.stoa.org/places/462077,"37.75029, 14.99466",Mount Etna,http://sws.geonames.org/2524810/
Agathyrnum,http://pleiades.stoa.org/places/462079,"38.16579,14.75064",Capo d'Orlando,http://sws.geonames.org/2523961/
Agrigentum,http://pleiades.stoa.org/places/462086,"37.32084, 13.58876",Agrigento,http://sws.geonames.org/6541860/
Agyrium,http://pleiades.stoa.org/places/462082,"37.6558, 14.51972",Agira,http://sws.geonames.org/2525767/
Amestratus,http://pleiades.stoa.org/places/462093,"37.929543, 14.362532",Mistretta,http://sws.geonames.org/2524122/
Apollonia,http://pleiades.stoa.org/places/462097,"38.03255,14.59566",Monte San Fratello,http://sws.geonames.org/2523486/
Aquae Segestanae,https://pleiades.stoa.org/places/462099,"37.972503, 12.891676",,
Assorus,http://pleiades.stoa.org/places/462106,"37.6221, 14.4181",Assoro,http://sws.geonames.org/2525651/
Bidis (?),http://pleiades.stoa.org/places/462113,"37.0646,14.5508",Poggio Bidini,
Brikinniai (?),http://pleiades.stoa.org/places/462118,"37.3387946, 14.8557338",Monte San Basilio,
Calacte,http://pleiades.stoa.org/places/462123,"38.02381, 14.44142",Caronia,http://sws.geonames.org/2525344/
Camarina,http://pleiades.stoa.org/places/462126,"36.8736,14.4507",Kamarina,http://sws.geonames.org/8063309/
Capitium,http://pleiades.stoa.org/places/462130,"37.84788, 14.47976",Capizzi,http://sws.geonames.org/2525387/
Capitoniania (?),http://pleiades.stoa.org/places/462131,"37.38616, 14.69241",Ramacca,http://sws.geonames.org/2523644/
Catina,http://pleiades.stoa.org/places/462270,"37.49223, 15.07041",Catania,http://sws.geonames.org/2525068/
Centuripae,http://pleiades.stoa.org/places/462153,"37.62336, 14.74049",Centuripe,http://sws.geonames.org/2525032/
Cephaloedium,http://pleiades.stoa.org/places/462154,"38.03856, 14.02285",Cefalù,http://sws.geonames.org/2525041/
"Cossura, ins.",http://pleiades.stoa.org/places/462168,"36.78333, 12",Pantelleria,http://sws.geonames.org/2523889/
