type;roleName subtypes
civic;quaestor
supracivic;quaestor.pro.praetore
civic;aedilis
supracivic;legatus.pro.praetore
supracivic;praetor
supracivic;praetor.designatus
supracivic;proconsul
supracivic;consul
supracivic;consul.designatus
supracivic;imperator
supracivic;pater.patriae
supracivic;tribunicia.potestas
supracivic.religious;pontifex.maximus
;
;
religious;augur
civic;decurio
civic;duumvir
;
;
supracivic;princeps
supracivic;dominus
supracivic;princeps.iuventutis
;
;
supracivic;corrector
civic;curator
civic;civis
civic;iudex
paracivic;patronus
civic;principalis
paracivic;clarissima
religious;presbyter
;
supracivic;prolegatus
military;praefectus.cohortis
military;miles
military;praefectus.fabrum
military;tribunus.militum
civic;sevir
religious;haruspex
civic;tribunus.plebis
supracivic;consulatus
military;primipilus
military;praefectus.cohortis
military;praefectus.alae
military;praefectus.vehiculorum
supracivic;iuridicus
supracivic;arkarius
religious;flaminica
religious;pontifex
supracivic;procurator
paracivic.religious;sevir.Augustalis
civic;aristos
paracivic.religious;scoparius.Isidis
civic;duumviratus
supracivic;senator
paracivic;consularis
civic;curator.sacrorum
supracivic;praefectus
paracivic.religious;seviratus
military;eques
supracivic.religious;septemvir.epulonum
paracivic.religious;Augustalis
civic;duumvir.quinquennalis
paracivic.religious;quattuorvir.Augustalis
civic;duumviralis
;
;
;
;
;
;
;
;
;
supracivic;ypatos
supracivic;autokrator
supracivic;strategos.autokrator
civic;presbys
civic;agoramenos
